sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0000035,sa_0004981,35,Breast,6,0,"[1,10)",AVAILABLE,1,1,1,8,0.4536159511698341,0.5714285714285714,0.7938279145472097,0.55,0.55,0.752806986276956,4,4,2,3.1753124520167533,0,0,1,1,2,0,2,0
fold3_0000036,sa_0004982,36,Breast,27,0,"[25,50)",AVAILABLE,1,1,1,18,0.5013152770590807,0.6222222222222222,0.8056852667020941,0.5396283274736313,0.5619120752543675,0.8837266470009832,14,4,13,11.279594539514584,7,3,3,0,0,1,0,3
fold3_0000037,sa_0004983,37,Breast,24,0,"[10,25)",AVAILABLE,1,1,1,19,0.6517909386650811,0.8372093023255814,0.7785280656277357,0.6653889304412864,0.6717928365909316,0.8447477744807121,18,1,6,14.01350595982731,1,0,5,0,0,0,1,0
fold3_0000038,sa_0004984,38,Breast,22,0,"[10,25)",AVAILABLE,1,1,1,19,0.6557751008892297,0.8292682926829268,0.7907876216605418,0.6838762362762,0.6838762362762,0.8186226964112512,17,2,5,13.443390359016833,0,0,5,0,1,0,1,0
fold3_0000039,sa_0004985,39,Breast,24,0,"[10,25)",AVAILABLE,1,1,1,15,0.4400185084797773,0.6153846153846154,0.7150300762796381,0.5248498999332889,0.514015780730897,0.8631968730713845,12,3,12,8.580361630385733,8,0,4,0,0,0,0,3
fold3_0000040,sa_0004986,40,Breast,6,0,"[1,10)",AVAILABLE,1,1,1,4,0.6659022821463658,0.8,0.8323778526829573,0.7677514792899408,0.7677514792899408,0.8686192468619247,4,0,2,3.329512243109682,0,0,2,0,0,0,0,0
fold3_0000041,sa_0004987,41,Breast,2,0,"[1,10)",AVAILABLE,1,1,1,1,0.5249495748508244,0.6666666666666666,0.7874243622762367,0.7623188405797101,0.7623188405797101,0.8651315789473685,1,0,1,0.7874251497005988,0,0,1,0,0,0,0,0
fold3_0000042,sa_0004988,42,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,13,0.5064314648569683,0.6666666666666666,0.7596471972854526,0.4722590714007023,0.5347902783222266,0.8327692995338739,10,3,7,7.596472732501723,4,0,2,1,2,0,0,1
fold3_0000043,sa_0004989,43,Breast,18,0,"[10,25)",AVAILABLE,1,1,1,17,0.6299256372486165,0.7428571428571429,0.8479768193731376,0.6291526891029109,0.6291526891029109,0.8007306542676852,13,4,5,11.023699499827607,0,2,3,0,1,2,1,0
fold3_0000044,sa_0004990,44,Breast,18,0,"[10,25)",AVAILABLE,1,1,1,8,0.4986508582747811,0.6153846153846154,0.8103076446965193,0.3823948220064725,0.39549235309900727,0.5679676985195155,8,0,10,6.482461967879798,1,0,9,0,0,0,0,0
fold3_0000045,sa_0004991,45,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,8,0.5925820282845926,0.7619047619047619,0.7777639121235278,0.6019925280199253,0.639386189258312,0.8379268504073496,8,0,5,6.222112074752134,1,0,4,0,0,0,0,0
fold3_0000046,sa_0004992,46,Breast,26,0,"[25,50)",AVAILABLE,1,1,1,27,0.7315838659078839,0.9056603773584906,0.8077905186066218,0.6982094856257688,0.6982094856257688,0.8247035467081612,24,3,2,19.386973254349442,0,0,2,0,0,0,3,0
fold3_0000047,sa_0004993,47,Breast,21,0,"[10,25)",AVAILABLE,1,1,1,13,0.5645060044751602,0.7058823529411765,0.7997168396731436,0.6723249200142197,0.6723249200142197,0.8482754955625232,12,1,9,9.596602875794561,0,0,9,0,0,1,0,0
